selector,candidate,label_access,selection_cost,direction,val_spearman,admissible,experiment,fraction,alpha,norm_cap,model_fingerprint
relative_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.7412587412587414,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.01,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,9,labels,"{""n_tried_sites"": 12, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,labels,"{""n_tried_sites"": 3, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.25874125874125875,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.6783216783216784,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9230769230769231,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8951048951048951,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.7972027972027973,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8601398601398602,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.7902097902097903,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/patch_mean,10,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.8601398601398602,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/cls,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",max,0.9230769230769231,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
relative_distance/patch_mean,11,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.8951048951048951,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.05,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_front,0,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,labels,"{""n_tried_sites"": 0, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,10,labels,"{""n_tried_sites"": 12, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,11,labels,"{""n_tried_sites"": 3, ""n_admissibility_checks"": 1}",,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,labels,"{""n_tried_sites"": 0, ""n_scored_sites"": 12, ""n_metric_rows"": 72, ""n_admissibility_checks"": 1, ""n_direction_validation_sites"": 12}",min,-0.1258741258741259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",E1,0.1,1.0,,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
